CASE_KEY,ACTIVITY,EVENTTIME,SORTING,RESOURCE
0,SendMailToParents,2024-09-15 00:00:00,1,System_0
0,ReceiveParentsData,2024-09-15 00:00:04,2,System_1
0,GenerateConfirmationMail,2024-09-15 07:50:53,3,System_380
0,SendConfirmationMail,2024-09-15 07:50:55,4,System_381
0,ReviewDocuments,2024-09-16 09:32:42,5,Sachbearbeiter3
0,StoreApplication,2024-09-17 10:39:20,6,Sachbearbeiter3
0,AssessApplication,2024-09-19 08:05:39,7,Sachbearbeiter1
0,CalculateClaim,2024-09-25 12:14:05,8,Sachbearbeiter3
0,Write Notification,2024-10-08 14:17:20,9,Sachbearbeiter3
0,SendNotification,2024-10-18 15:30:33,10,Sachbearbeiter2
1,SendMailToParents,2024-09-15 00:01:34,1,System_2
1,ReceiveParentsData,2024-09-15 00:01:39,2,System_3
1,GenerateConfirmationMail,2024-09-17 22:59:05,3,System_2989
1,SendConfirmationMail,2024-09-17 22:59:08,4,System_2990
1,ReviewDocuments,2024-09-20 11:45:58,5,Sachbearbeiter3
1,RequestResubmission,2024-09-30 13:04:08,6,Sachbearbeiter1
1,ReceiveResubmission,2024-09-30 13:10:37,7,System_7277
1,ReviewDocuments,2024-10-14 15:27:48,8,Sachbearbeiter3
1,StoreApplication,2024-10-25 15:27:44,9,Sachbearbeiter2
1,AssessApplication,2024-11-11 10:43:04,10,Sachbearbeiter2
1,CalculateClaim,2024-11-21 13:01:11,11,Sachbearbeiter2
1,Write Notification,2024-11-29 14:51:49,12,Sachbearbeiter2
1,SendNotification,2024-12-06 10:01:53,13,Sachbearbeiter2
2,GenerateConfirmationMail,2024-09-15 00:03:46,1,System_4
2,SendConfirmationMail,2024-09-15 00:03:47,2,System_5
2,ReviewDocuments,2024-09-16 07:30:00,3,Sachbearbeiter1
2,RequestResubmission,2024-09-17 08:36:33,4,Sachbearbeiter3
2,ReceiveResubmission,2024-09-17 08:41:57,5,System_2102
2,ReviewDocuments,2024-09-24 14:40:06,6,Sachbearbeiter3
2,RequestResubmission,2024-10-08 07:43:39,7,Sachbearbeiter3
2,ReceiveResubmission,2024-10-08 07:50:32,8,System_7489
2,ReviewDocuments,2024-10-24 10:18:54,9,Sachbearbeiter3
2,RequestResubmission,2024-11-08 07:44:51,10,Sachbearbeiter3
2,ReceiveResubmission,2024-11-08 07:51:12,11,System_8162
2,ReviewDocuments,2024-11-21 10:27:39,12,Sachbearbeiter2
2,RequestResubmission,2024-11-29 13:34:46,13,Sachbearbeiter3
2,ReceiveResubmission,2024-11-29 13:40:21,14,System_8383
2,ReviewDocuments,2024-12-11 10:26:05,15,Sachbearbeiter1
2,StoreApplication,2024-12-12 15:49:36,16,Sachbearbeiter1
2,AssessApplication,2024-12-13 14:36:13,17,Sachbearbeiter2
2,CalculateClaim,2024-12-16 11:19:49,18,Sachbearbeiter2
2,Write Notification,2024-12-16 15:42:22,19,Sachbearbeiter1
2,SendNotification,2024-12-17 09:01:54,20,Sachbearbeiter1
3,SendMailToParents,2024-09-15 00:04:38,1,System_6
3,ReceiveParentsData,2024-09-15 00:04:40,2,System_8
3,GenerateConfirmationMail,2024-09-16 09:01:01,3,System_1256
3,SendConfirmationMail,2024-09-16 09:01:04,4,System_1257
3,ReviewDocuments,2024-09-17 09:56:20,5,Sachbearbeiter1
3,RequestResubmission,2024-09-18 15:50:15,6,Sachbearbeiter1
3,ReceiveResubmission,2024-09-18 15:54:28,7,System_3664
3,ReviewDocuments,2024-10-09 08:05:03,8,Sachbearbeiter3
3,StoreApplication,2024-10-21 11:18:43,9,Sachbearbeiter2
3,AssessApplication,2024-11-04 14:27:49,10,Sachbearbeiter3
3,CalculateClaim,2024-11-18 10:05:15,11,Sachbearbeiter1
3,Write Notification,2024-11-27 10:48:27,12,Sachbearbeiter2
3,SendNotification,2024-12-04 14:05:45,13,Sachbearbeiter2
4,SendMailToParents,2024-09-15 00:04:39,1,System_7
4,ReceiveParentsData,2024-09-15 00:04:41,2,System_9
4,GenerateConfirmationMail,2024-09-16 06:01:50,3,System_1172
