case_id,activity,enable_time,start_time,end_time,resource
0,SendMailToParents,2024-09-15 00:00:00.000000+00:00,2024-09-15 00:00:00.000000+00:00,2024-09-15 00:00:04.462441+00:00,System_0
0,ReceiveParentsData,2024-09-15 00:00:04.462441+00:00,2024-09-15 00:00:04.462441+00:00,2024-09-15 07:50:53.533087+00:00,System_1
1,SendMailToParents,2024-09-15 00:01:34.986924+00:00,2024-09-15 00:01:34.986924+00:00,2024-09-15 00:01:39.040495+00:00,System_2
1,ReceiveParentsData,2024-09-15 00:01:39.040495+00:00,2024-09-15 00:01:39.040495+00:00,2024-09-17 22:59:05.903027+00:00,System_3
2,GenerateConfirmationMail,2024-09-15 00:03:46.263550+00:00,2024-09-15 00:03:46.263550+00:00,2024-09-15 00:03:47.482241+00:00,System_4
2,SendConfirmationMail,2024-09-15 00:03:47.482241+00:00,2024-09-15 00:03:47.482241+00:00,2024-09-15 00:03:51.883422+00:00,System_5
2,ReviewDocuments,2024-09-15 00:03:51.883422+00:00,2024-09-16 07:30:00.000000+00:00,2024-09-16 07:40:22.815405+00:00,Sachbearbeiter1
3,SendMailToParents,2024-09-15 00:04:38.338103+00:00,2024-09-15 00:04:38.338103+00:00,2024-09-15 00:04:40.502969+00:00,System_6
4,SendMailToParents,2024-09-15 00:04:39.395997+00:00,2024-09-15 00:04:39.395997+00:00,2024-09-15 00:04:41.990477+00:00,System_7
3,ReceiveParentsData,2024-09-15 00:04:40.502969+00:00,2024-09-15 00:04:40.502969+00:00,2024-09-16 09:01:01.998154+00:00,System_8
4,ReceiveParentsData,2024-09-15 00:04:41.990477+00:00,2024-09-15 00:04:41.990477+00:00,2024-09-16 06:01:50.476194+00:00,System_9
5,GenerateConfirmationMail,2024-09-15 00:06:06.946087+00:00,2024-09-15 00:06:06.946087+00:00,2024-09-15 00:06:09.812525+00:00,System_10
5,SendConfirmationMail,2024-09-15 00:06:09.812525+00:00,2024-09-15 00:06:09.812525+00:00,2024-09-15 00:06:12.782389+00:00,System_11
5,ReviewDocuments,2024-09-15 00:06:12.782389+00:00,2024-09-16 07:30:00.000000+00:00,2024-09-16 07:38:16.981890+00:00,Sachbearbeiter2
6,SendMailToParents,2024-09-15 00:08:48.484937+00:00,2024-09-15 00:08:48.484937+00:00,2024-09-15 00:08:53.346894+00:00,System_12
6,ReceiveParentsData,2024-09-15 00:08:53.346894+00:00,2024-09-15 00:08:53.346894+00:00,2024-09-16 10:01:28.411713+00:00,System_13
7,GenerateConfirmationMail,2024-09-15 00:13:36.570336+00:00,2024-09-15 00:13:36.570336+00:00,2024-09-15 00:13:39.569321+00:00,System_14
7,SendConfirmationMail,2024-09-15 00:13:39.569321+00:00,2024-09-15 00:13:39.569321+00:00,2024-09-15 00:13:42.607055+00:00,System_15
7,ReviewDocuments,2024-09-15 00:13:42.607055+00:00,2024-09-16 07:30:00.000000+00:00,2024-09-16 07:42:14.829455+00:00,Sachbearbeiter3
8,SendMailToParents,2024-09-15 00:18:34.728933+00:00,2024-09-15 00:18:34.728933+00:00,2024-09-15 00:18:38.322325+00:00,System_16
8,ReceiveParentsData,2024-09-15 00:18:38.322325+00:00,2024-09-15 00:18:38.322325+00:00,2024-09-15 20:03:50.733296+00:00,System_17
9,SendMailToParents,2024-09-15 00:20:47.624656+00:00,2024-09-15 00:20:47.624656+00:00,2024-09-15 00:20:51.079610+00:00,System_18
9,ReceiveParentsData,2024-09-15 00:20:51.079610+00:00,2024-09-15 00:20:51.079610+00:00,2024-09-15 10:32:41.230496+00:00,System_19
10,SendMailToParents,2024-09-15 00:23:14.394429+00:00,2024-09-15 00:23:14.394429+00:00,2024-09-15 00:23:16.716727+00:00,System_20
10,ReceiveParentsData,2024-09-15 00:23:16.716727+00:00,2024-09-15 00:23:16.716727+00:00,2024-09-24 20:33:14.560709+00:00,System_21
11,SendMailToParents,2024-09-15 00:25:09.858872+00:00,2024-09-15 00:25:09.858872+00:00,2024-09-15 00:25:11.965418+00:00,System_22
11,ReceiveParentsData,2024-09-15 00:25:11.965418+00:00,2024-09-15 00:25:11.965418+00:00,2024-09-23 09:32:37.002343+00:00,System_23
12,SendMailToParents,2024-09-15 00:25:19.994055+00:00,2024-09-15 00:25:19.994055+00:00,2024-09-15 00:25:22.764062+00:00,System_24
12,ReceiveParentsData,2024-09-15 00:25:22.764062+00:00,2024-09-15 00:25:22.764062+00:00,2024-09-19 22:41:43.211015+00:00,System_25
13,GenerateConfirmationMail,2024-09-15 00:30:13.363630+00:00,2024-09-15 00:30:13.363630+00:00,2024-09-15 00:30:14.453415+00:00,System_26
13,SendConfirmationMail,2024-09-15 00:30:14.453415+00:00,2024-09-15 00:30:14.453415+00:00,2024-09-15 00:30:19.079087+00:00,System_27
13,ReviewDocuments,2024-09-15 00:30:19.079087+00:00,2024-09-16 07:38:16.981890+00:00,2024-09-16 07:47:22.864909+00:00,Sachbearbeiter2
14,SendMailToParents,2024-09-15 00:30:55.152323+00:00,2024-09-15 00:30:55.152323+00:00,2024-09-15 00:30:59.630344+00:00,System_28
14,ReceiveParentsData,2024-09-15 00:30:59.630344+00:00,2024-09-15 00:30:59.630344+00:00,2024-09-20 09:07:16.031551+00:00,System_29
15,SendMailToParents,2024-09-15 00:34:40.255114+00:00,2024-09-15 00:34:40.255114+00:00,2024-09-15 00:34:44.596397+00:00,System_30
15,ReceiveParentsData,2024-09-15 00:34:44.596397+00:00,2024-09-15 00:34:44.596397+00:00,2024-09-21 11:22:21.876919+00:00,System_31
16,SendMailToParents,2024-09-15 00:35:57.868066+00:00,2024-09-15 00:35:57.868066+00:00,2024-09-15 00:36:01.837692+00:00,System_32
16,ReceiveParentsData,2024-09-15 00:36:01.837692+00:00,2024-09-15 00:36:01.837692+00:00,2024-09-16 16:03:20.422568+00:00,System_33
17,SendMailToParents,2024-09-15 00:41:25.604766+00:00,2024-09-15 00:41:25.604766+00:00,2024-09-15 00:41:28.194737+00:00,System_34
18,SendMailToParents,2024-09-15 00:41:27.506756+00:00,2024-09-15 00:41:27.506756+00:00,2024-09-15 00:41:31.661492+00:00,System_35
17,ReceiveParentsData,2024-09-15 00:41:28.194737+00:00,2024-09-15 00:41:28.194737+00:00,2024-09-29 23:13:59.008380+00:00,System_36
18,ReceiveParentsData,2024-09-15 00:41:31.661492+00:00,2024-09-15 00:41:31.661492+00:00,2024-09-19 12:03:39.305528+00:00,System_37
19,SendMailToParents,2024-09-15 00:47:08.637141+00:00,2024-09-15 00:47:08.637141+00:00,2024-09-15 00:47:11.331194+00:00,System_38
19,ReceiveParentsData,2024-09-15 00:47:11.331194+00:00,2024-09-15 00:47:11.331194+00:00,2024-09-21 13:01:15.018893+00:00,System_39
20,GenerateConfirmationMail,2024-09-15 00:52:45.837172+00:00,2024-09-15 00:52:45.837172+00:00,2024-09-15 00:52:46.863833+00:00,System_40
20,SendConfirmationMail,2024-09-15 00:52:46.863833+00:00,2024-09-15 00:52:46.863833+00:00,2024-09-15 00:52:51.029457+00:00,System_41
20,ReviewDocuments,2024-09-15 00:52:51.029457+00:00,2024-09-16 07:40:22.815405+00:00,2024-09-16 07:53:26.240736+00:00,Sachbearbeiter1
21,SendMailToParents,2024-09-15 00:56:33.904253+00:00,2024-09-15 00:56:33.904253+00:00,2024-09-15 00:56:37.564216+00:00,System_42
21,ReceiveParentsData,2024-09-15 00:56:37.564216+00:00,2024-09-15 00:56:37.564216+00:00,2024-09-16 14:01:03.463567+00:00,System_43
22,SendMailToParents,2024-09-15 01:03:03.726418+00:00,2024-09-15 01:03:03.726418+00:00,2024-09-15 01:03:07.738319+00:00,System_44
22,ReceiveParentsData,2024-09-15 01:03:07.738319+00:00,2024-09-15 01:03:07.738319+00:00,2024-09-19 11:21:20.396530+00:00,System_45
23,SendMailToParents,2024-09-15 01:08:11.395923+00:00,2024-09-15 01:08:11.395923+00:00,2024-09-15 01:08:16.101223+00:00,System_46
23,ReceiveParentsData,2024-09-15 01:08:16.101223+00:00,2024-09-15 01:08:16.101223+00:00,2024-09-16 19:09:56.218263+00:00,System_47
24,SendMailToParents,2024-09-15 01:09:36.989161+00:00,2024-09-15 01:09:36.989161+00:00,2024-09-15 01:09:39.368669+00:00,System_48
24,ReceiveParentsData,2024-09-15 01:09:39.368669+00:00,2024-09-15 01:09:39.368669+00:00,2024-09-19 21:08:56.805728+00:00,System_49
25,SendMailToParents,2024-09-15 01:10:37.991049+00:00,2024-09-15 01:10:37.991049+00:00,2024-09-15 01:10:41.881963+00:00,System_50
25,ReceiveParentsData,2024-09-15 01:10:41.881963+00:00,2024-09-15 01:10:41.881963+00:00,2024-09-26 08:31:26.000264+00:00,System_51
26,GenerateConfirmationMail,2024-09-15 01:10:51.867511+00:00,2024-09-15 01:10:51.867511+00:00,2024-09-15 01:10:53.728904+00:00,System_52
26,SendConfirmationMail,2024-09-15 01:10:53.728904+00:00,2024-09-15 01:10:53.728904+00:00,2024-09-15 01:10:57.357896+00:00,System_53
26,ReviewDocuments,2024-09-15 01:10:57.357896+00:00,2024-09-16 07:42:14.829455+00:00,2024-09-16 07:51:02.699832+00:00,Sachbearbeiter3
27,SendMailToParents,2024-09-15 01:13:41.788892+00:00,2024-09-15 01:13:41.788892+00:00,2024-09-15 01:13:44.716448+00:00,System_54
27,ReceiveParentsData,2024-09-15 01:13:44.716448+00:00,2024-09-15 01:13:44.716448+00:00,2024-09-15 05:35:58.979851+00:00,System_55
28,GenerateConfirmationMail,2024-09-15 01:18:00.323899+00:00,2024-09-15 01:18:00.323899+00:00,2024-09-15 01:18:02.377317+00:00,System_56
28,SendConfirmationMail,2024-09-15 01:18:02.377317+00:00,2024-09-15 01:18:02.377317+00:00,2024-09-15 01:18:05.380454+00:00,System_57
29,SendMailToParents,2024-09-15 01:18:03.632498+00:00,2024-09-15 01:18:03.632498+00:00,2024-09-15 01:18:07.510181+00:00,System_58
30,SendMailToParents,2024-09-15 01:18:03.688114+00:00,2024-09-15 01:18:03.688114+00:00,2024-09-15 01:18:07.809371+00:00,System_59
28,ReviewDocuments,2024-09-15 01:18:05.380454+00:00,2024-09-16 07:47:22.864909+00:00,2024-09-16 07:58:55.697279+00:00,Sachbearbeiter2
29,ReceiveParentsData,2024-09-15 01:18:07.510181+00:00,2024-09-15 01:18:07.510181+00:00,2024-09-16 07:51:52.439606+00:00,System_60
30,ReceiveParentsData,2024-09-15 01:18:07.809371+00:00,2024-09-15 01:18:07.809371+00:00,2024-09-17 08:46:24.997486+00:00,System_61
31,GenerateConfirmationMail,2024-09-15 01:21:50.630916+00:00,2024-09-15 01:21:50.630916+00:00,2024-09-15 01:21:52.162815+00:00,System_62
31,SendConfirmationMail,2024-09-15 01:21:52.162815+00:00,2024-09-15 01:21:52.162815+00:00,2024-09-15 01:21:56.719517+00:00,System_63
31,ReviewDocuments,2024-09-15 01:21:56.719517+00:00,2024-09-16 07:51:02.699832+00:00,2024-09-16 07:57:31.775240+00:00,Sachbearbeiter3
32,SendMailToParents,2024-09-15 01:23:06.292867+00:00,2024-09-15 01:23:06.292867+00:00,2024-09-15 01:23:10.792314+00:00,System_64
