application_id,student_id,is_initial_application,is_parent_independent,housing_type,status,deviation_type
APP_000000,STU_000000,True,False,Alleine,Rejected,Shortened
APP_000001,STU_000001,True,False,Alleine,Approved,None
APP_000002,STU_000002,True,False,Alleine,Pending,Switched
APP_000003,STU_000003,True,True,Alleine,Approved,None
APP_000004,STU_000004,True,True,Alleine,Approved,None
APP_000005,STU_000005,True,False,Alleine,Rejected,None
APP_000006,STU_000006,True,False,Alleine,Rejected,Shortened
APP_000007,STU_000007,True,False,Alleine,Approved,None
APP_000008,STU_000008,True,False,Alleine,Approved,None
APP_000009,STU_000009,True,True,Alleine,Rejected,None
APP_000010,STU_000010,True,False,Alleine,Approved,None
APP_000011,STU_000011,True,False,Alleine,Rejected,None
APP_000012,STU_000012,True,False,Alleine,Approved,None
APP_000013,STU_000013,True,False,Alleine,Approved,None
APP_000014,STU_000014,True,False,Alleine,Approved,None
APP_000015,STU_000015,True,False,Alleine,Pending,Switched
APP_000016,STU_000016,True,False,Alleine,Approved,None
APP_000017,STU_000017,True,False,Alleine,Rejected,None
APP_000018,STU_000018,True,False,Alleine,Approved,None
APP_000019,STU_000019,True,False,Alleine,Rejected,Timeout
APP_000020,STU_000020,True,False,Alleine,Rejected,None
APP_000021,STU_000021,True,False,Alleine,Approved,None
APP_000022,STU_000022,True,False,Alleine,Rejected,Shortened
APP_000023,STU_000023,True,False,Alleine,Rejected,None
APP_000024,STU_000024,True,False,Alleine,Approved,None
APP_000025,STU_000025,True,False,Alleine,Approved,None
APP_000026,STU_000026,True,False,Alleine,Approved,None
APP_000027,STU_000027,True,False,Alleine,Approved,None
APP_000028,STU_000028,True,False,Alleine,Approved,None
APP_000029,STU_000029,True,False,Alleine,Pending,Switched
APP_000030,STU_000030,True,True,Alleine,Approved,None
APP_000031,STU_000031,True,False,Alleine,Pending,Switched
APP_000032,STU_000032,True,False,Alleine,Rejected,None
APP_000033,STU_000033,True,False,Alleine,Rejected,Shortened
APP_000034,STU_000034,True,False,Alleine,Approved,None
APP_000035,STU_000035,True,False,Alleine,Pending,Switched
APP_000036,STU_000036,True,False,Alleine,Approved,None
