document_id,application_id,doc_type,doc_category,status,submission_date,reviewed,printed,archived
DOC_000000,APP_000000,Formblatt 1,Student,Received,2024-10-07 18:55:18,True,False,False
DOC_000001,APP_000000,Immatrikulationsbescheinigung,Student,Received,2024-09-21 08:05:05,True,False,False
DOC_000002,APP_000000,Formblatt 3,Eltern,Received,2024-09-21 08:05:05,True,False,False
DOC_000003,APP_000000,Einkommensnachweis Eltern,Eltern,Received,2024-09-09 14:58:15,True,False,False
DOC_000004,APP_000000,Mietbescheinigung,Student,Received,2024-09-21 08:05:05,True,False,False
DOC_000005,APP_000001,Formblatt 1,Student,Received,2024-09-24 11:08:09,True,False,False
DOC_000006,APP_000001,Immatrikulationsbescheinigung,Student,Received,2024-09-24 11:08:09,True,False,False
DOC_000007,APP_000001,Formblatt 3,Eltern,Received,2024-10-07 18:49:29,True,False,False
DOC_000008,APP_000001,Einkommensnachweis Eltern,Eltern,Received,2024-09-24 11:08:09,True,False,False
DOC_000009,APP_000001,Mietbescheinigung,Student,Received,2024-09-24 11:08:09,True,False,False
DOC_000010,APP_000002,Formblatt 1,Student,Received,2024-09-21 18:19:24,True,False,False
DOC_000011,APP_000002,Immatrikulationsbescheinigung,Student,Received,2024-09-21 18:19:24,True,False,False
DOC_000012,APP_000002,Mietbescheinigung,Student,Received,2024-09-21 18:19:24,True,False,False
DOC_000013,APP_000003,Formblatt 1,Student,Received,2024-09-19 20:31:33,True,False,False
DOC_000014,APP_000003,Immatrikulationsbescheinigung,Student,Received,2024-09-19 20:31:33,True,False,False
DOC_000015,APP_000003,Formblatt 3,Eltern,Received,2024-09-19 20:31:33,True,False,False
DOC_000016,APP_000003,Einkommensnachweis Eltern,Eltern,Received,2024-09-10 13:19:49,True,False,False
DOC_000017,APP_000003,Mietbescheinigung,Student,Received,2024-09-19 20:31:33,True,False,False
DOC_000018,APP_000004,Formblatt 1,Student,Received,2024-09-27 19:22:50,True,False,False
DOC_000019,APP_000004,Immatrikulationsbescheinigung,Student,Received,2024-09-27 19:22:50,True,False,False
DOC_000020,APP_000004,Formblatt 3,Eltern,Received,2024-09-27 19:22:50,True,False,False
DOC_000021,APP_000004,Einkommensnachweis Eltern,Eltern,Received,2024-09-27 19:22:50,True,False,False
DOC_000022,APP_000004,Mietbescheinigung,Student,Received,2024-09-27 19:22:50,True,False,False
DOC_000023,APP_000005,Formblatt 1,Student,Received,2024-09-21 13:51:55,True,False,False
DOC_000024,APP_000005,Immatrikulationsbescheinigung,Student,Received,2024-09-21 13:51:55,True,False,False
DOC_000025,APP_000005,Formblatt 3,Eltern,Received,2024-09-21 13:51:55,True,False,False
DOC_000026,APP_000005,Einkommensnachweis Eltern,Eltern,Received,2024-09-06 14:39:17,True,False,False
DOC_000027,APP_000006,Formblatt 1,Student,Received,2024-09-18 09:18:28,True,False,False
DOC_000028,APP_000006,Immatrikulationsbescheinigung,Student,Received,2024-09-18 09:18:28,True,False,False
DOC_000029,APP_000006,Formblatt 3,Eltern,Received,2024-09-18 09:18:28,True,False,False
DOC_000030,APP_000006,Einkommensnachweis Eltern,Eltern,Received,2024-09-05 17:32:01,True,False,False
DOC_000031,APP_000007,Formblatt 1,Student,Received,2024-10-19 11:16:35,True,False,False
DOC_000032,APP_000007,Immatrikulationsbescheinigung,Student,Received,2024-10-19 11:16:35,True,False,False
DOC_000033,APP_000007,Formblatt 3,Eltern,Received,2024-10-02 08:15:31,True,False,False
DOC_000034,APP_000007,Einkommensnachweis Eltern,Eltern,Received,2024-09-10 02:05:26,True,False,False
DOC_000035,APP_000007,Mietbescheinigung,Student,Received,2024-10-02 08:15:31,True,False,False
DOC_000036,APP_000008,Formblatt 1,Student,Received,2024-09-18 18:37:00,True,False,False
DOC_000037,APP_000008,Immatrikulationsbescheinigung,Student,Received,2024-09-18 18:37:00,True,False,False
DOC_000038,APP_000008,Mietbescheinigung,Student,Received,2024-09-18 18:37:00,True,False,False
DOC_000039,APP_000009,Formblatt 1,Student,Received,2024-09-19 11:51:47,True,False,False
DOC_000040,APP_000009,Immatrikulationsbescheinigung,Student,Received,2024-09-19 11:51:47,True,False,False
DOC_000041,APP_000009,Formblatt 3,Eltern,Received,2024-09-19 11:51:47,True,False,False
DOC_000042,APP_000009,Einkommensnachweis Eltern,Eltern,Received,2024-09-06 07:01:50,True,False,False
DOC_000043,APP_000010,Formblatt 1,Student,Received,2024-10-02 15:24:36,True,False,False
DOC_000044,APP_000010,Immatrikulationsbescheinigung,Student,Received,2024-09-17 01:46:35,True,False,False
DOC_000045,APP_000010,Formblatt 3,Eltern,Received,2024-09-17 01:46:35,True,False,False
DOC_000046,APP_000010,Einkommensnachweis Eltern,Eltern,Received,2024-09-17 01:46:35,True,False,False
DOC_000047,APP_000010,Mietbescheinigung,Student,Received,2024-09-17 01:46:35,True,False,False
DOC_000048,APP_000011,Formblatt 1,Student,Received,2024-10-02 04:24:02,True,False,False
DOC_000049,APP_000011,Immatrikulationsbescheinigung,Student,Received,2024-09-12 17:20:09,True,False,False
DOC_000050,APP_000011,Formblatt 3,Eltern,Received,2024-09-12 17:20:09,True,False,False
DOC_000051,APP_000011,Einkommensnachweis Eltern,Eltern,Received,2024-09-04 12:04:54,True,False,False
DOC_000052,APP_000012,Formblatt 1,Student,Received,2024-09-28 00:17:44,True,False,False
