event_id;object_id;object_type
E_000001;APP_000000;Application
E_000002;APP_000000;Application
E_000003;APP_000001;Application
E_000004;APP_000001;Application
E_000005;APP_000002;Application
E_000006;APP_000002;Application
E_000007;APP_000003;Application
E_000008;APP_000003;Application
E_000009;APP_000003;Application
E_000009;DOC_000012;Document
E_000009;DOC_000013;Document
E_000010;APP_000003;Application
E_000011;APP_000003;Application
E_000012;APP_000003;Application
E_000013;APP_000003;Application
E_000014;APP_000004;Application
E_000015;APP_000004;Application
E_000016;APP_000005;Application
E_000017;APP_000005;Application
E_000018;APP_000005;Application
E_000018;DOC_000019;Document
E_000018;DOC_000020;Document
E_000019;APP_000005;Application
E_000019;DOC_000019;Document
E_000019;DOC_000020;Document
E_000020;APP_000005;Application
E_000021;APP_000006;Application
E_000022;APP_000006;Application
E_000023;APP_000007;Application
E_000024;APP_000007;Application
E_000025;APP_000008;Application
E_000026;APP_000008;Application
E_000027;APP_000009;Application
E_000028;APP_000009;Application
E_000029;APP_000010;Application
E_000030;APP_000010;Application
E_000031;APP_000011;Application
E_000032;APP_000011;Application
E_000033;APP_000012;Application
E_000034;APP_000012;Application
E_000035;APP_000013;Application
E_000036;APP_000013;Application
E_000037;APP_000014;Application
E_000038;APP_000014;Application
E_000039;APP_000015;Application
E_000040;APP_000015;Application
E_000041;APP_000016;Application
E_000042;APP_000016;Application
E_000043;APP_000017;Application
E_000044;APP_000018;Application
E_000045;APP_000017;Application
E_000046;APP_000018;Application
E_000047;APP_000017;Application
E_000047;DOC_000072;Document
E_000047;DOC_000073;Document
E_000048;APP_000017;Application
E_000048;DOC_000072;Document
E_000048;DOC_000073;Document
E_000049;APP_000017;Application
E_000050;APP_000017;Application
E_000051;APP_000019;Application
E_000052;APP_000019;Application
E_000053;APP_000020;Application
E_000054;APP_000020;Application
E_000055;APP_000021;Application
E_000056;APP_000021;Application
E_000057;APP_000022;Application
E_000058;APP_000022;Application
E_000059;APP_000022;Application
E_000059;DOC_000093;Document
E_000059;DOC_000094;Document
E_000060;APP_000001;Application
E_000060;DOC_000006;Document
E_000061;APP_000001;Application
E_000062;APP_000002;Application
E_000062;DOC_000010;Document
E_000063;APP_000002;Application
E_000064;APP_000001;Application
E_000064;DOC_000004;Document
E_000064;DOC_000005;Document
E_000065;APP_000002;Application
E_000065;DOC_000008;Document
E_000065;DOC_000009;Document
E_000066;APP_000022;Application
E_000066;DOC_000093;Document
E_000066;DOC_000094;Document
E_000066;DOC_000095;Document
E_000067;APP_000002;Application
E_000067;DOC_000008;Document
E_000067;DOC_000009;Document
E_000067;DOC_000010;Document
E_000067;DOC_000011;Document
E_000068;APP_000022;Application
