case_id;event_id;activity;timestamp;sorting_integer;case_sorting_integer;org_resource
APP_000000;E_000001;Application started;2024-09-15 02:20:46;1;1;System
APP_000000;E_000002;Request Parent Data;2024-09-15 02:22:23;2;2;System
APP_000001;E_000003;Application started;2024-09-15 17:23:49;3;1;System
APP_000001;E_000004;Request Parent Data;2024-09-15 17:25:25;4;2;System
APP_000002;E_000005;Application started;2024-09-15 21:57:41;5;1;System
APP_000002;E_000006;Request Parent Data;2024-09-15 21:59:05;6;2;System
APP_000003;E_000007;Application started;2024-09-15 22:48:34;7;1;System
APP_000003;E_000008;Send Application Mail;2024-09-15 22:50:00;8;2;System
APP_000003;E_000009;Receive Application;2024-09-15 22:53:02;9;3;System
APP_000003;E_000010;Assess Application;2024-09-15 23:29:05;10;4;Clerk
APP_000003;E_000011;Calculate Claim;2024-09-15 23:54:41;11;5;Clerk
APP_000003;E_000012;Send Notification;2024-09-16 00:05:17;12;6;Clerk
APP_000003;E_000013;Application handled;2024-09-16 00:05:17;13;7;System
APP_000004;E_000014;Application started;2024-09-16 08:51:56;14;1;System
APP_000004;E_000015;Request Parent Data;2024-09-16 08:53:39;15;2;System
APP_000005;E_000016;Application started;2024-09-16 09:16:01;16;1;System
APP_000005;E_000017;Send Application Mail;2024-09-16 09:18:25;17;2;System
APP_000005;E_000018;Receive Application;2024-09-16 09:20:47;18;3;System
APP_000005;E_000019;Review Document;2024-09-16 09:49:35;19;4;Clerk
APP_000005;E_000020;Request Missing Documents;2024-09-16 09:54:35;20;5;Clerk
APP_000006;E_000021;Application started;2024-09-16 09:59:33;21;1;System
APP_000006;E_000022;Request Parent Data;2024-09-16 10:00:37;22;2;System
APP_000007;E_000023;Application started;2024-09-16 11:53:07;23;1;System
APP_000007;E_000024;Request Parent Data;2024-09-16 11:54:31;24;2;System
APP_000008;E_000025;Application started;2024-09-16 12:34:35;25;1;System
APP_000008;E_000026;Request Parent Data;2024-09-16 12:35:53;26;2;System
APP_000009;E_000027;Application started;2024-09-16 13:47:39;27;1;System
APP_000009;E_000028;Request Parent Data;2024-09-16 13:48:16;28;2;System
APP_000010;E_000029;Application started;2024-09-16 14:14:23;29;1;System
